CustomerID,CustomerName,Age,Gender,Country,JoinDate,PurchaseAmount
1496.0,Sara Sharma,26.0,Female,Canada,2022-06-08,3724.23
1107.0,Myra Nair,40.0,Male,India,,6025.38
1066.0,Aditya Singh,31.0,Male,India,,3625.43
1159.0,Krishna Verma,44.0,Female,Canada,,4492.07
1512.0,Vivaan Verma,17.0,Male,UK,,3189.84
1041.0,Ananya Singh,47.0,Female,UK,,7326.687500000001
1023.0,Anika Iyer,60.0,Female,USA,,7326.687500000001
1059.0,Vivaan Nair,28.0,Female,UK,2023-11-16,2846.89
1245.0,Krishna Kapoor,36.0,Female,UK,,3420.92
1283.0,Diya Singh,24.0,Female,UK,,2890.8
1201.0,Sai Rao,24.0,Male,Canada,2023-07-10,417.86
1457.0,Reyansh Reddy,35.0,Male,UK,,3460.36
1268.0,Myra Gupta,59.0,Male,USA,2023-08-04,3420.92
1101.0,Kiara Nair,42.0,Male,Canada,,3324.68
1195.0,Aarav Verma,56.0,Female,USA,2022-06-17,4124.55
1323.0,Myra Rao,39.0,Female,USA,2018-07-02,3201.75
1346.0,Saanvi Nair,33.0,Female,UK,,2534.26
1209.0,Riya Kapoor,35.0,Male,USA,,3136.07
1595.0,Myra Mehta,28.0,Female,Canada,2022-09-05,4445.64
1047.0,Anika Mehta,61.0,Female,UK,,4560.27
1013.0,Reyansh Verma,51.0,Female,UK,,2751.06
1286.0,Saanvi Sharma,28.0,Male,UK,,4668.24
1353.0,Riya Verma,20.0,Male,Canada,,5414.71
1517.0,Anika Rao,57.0,Male,UK,,3420.92
1090.0,Sara Singh,34.0,Male,USA,,3652.89
1120.0,Diya Rao,54.0,Male,USA,,6293.48
1481.0,Reyansh Sharma,31.0,Female,India,,4089.71
1599.0,Anika Mehta,38.0,Male,USA,,2419.48
1488.0,Reyansh Rao,63.0,Female,UK,,2737.82
1333.0,Aditya Kapoor,51.0,Male,India,,1682.14
1446.0,Myra Rao,44.0,Male,USA,,3843.45
1132.0,Ishaan Reddy,42.0,Male,USA,,4623.83
1236.0,Reyansh Kapoor,15.0,Male,USA,,3420.92
1160.0,Aarav Sharma,65.0,Male,UK,,1873.08
1088.0,Vihaan Rao,66.0,Male,Canada,,4429.55
1414.0,Aditya Reddy,69.0,Female,USA,,1507.41
1262.0,Sai Iyer,52.0,Female,India,,2761.63
1406.0,Sara Reddy,31.0,Female,USA,,2175.7
1318.0,Saanvi Sharma,59.0,Male,UK,,3251.52
1119.0,Reyansh Nair,36.0,Female,USA,,3253.02
1585.0,Arjun Kapoor,31.0,Male,USA,,3597.75
1111.0,Arjun Reddy,26.0,Male,USA,,4736.3
1549.0,Reyansh Rao,57.0,Male,India,,2508.98
1408.0,Krishna Verma,56.0,Male,UK,,3420.92
1172.0,Riya Gupta,57.0,Male,UK,,4151.01
1214.0,Reyansh Nair,15.0,Female,USA,2023-05-02,2447.35
1000.0,Vivaan Rao,51.0,Male,USA,2021-11-20,3025.64
1550.0,Aadhya Gupta,18.0,Female,Canada,2023-04-08,5728.28
1162.0,Riya Reddy,57.0,Male,USA,,488.16
1069.0,Vihaan Sharma,17.0,Male,UK,,4016.91
1304.0,Saanvi Verma,28.0,Female,India,,3219.86
1386.0,Ananya Rao,18.0,Female,USA,,1924.37
1144.0,Saanvi Iyer,48.0,Female,Canada,,4046.79
1218.0,Arjun Verma,26.0,Female,USA,,2195.06
1370.0,Reyansh Verma,61.0,Male,UK,,2416.46
1570.0,Vivaan Iyer,46.0,Female,UK,2018-05-18,3289.57
1458.0,Ishaan Gupta,28.0,Female,Canada,,6533.88
1530.0,Anika Sharma,19.0,Female,UK,2023-02-09,4982.51
1573.0,Myra Singh,47.0,Female,India,,3420.92
1436.0,Reyansh Sharma,21.0,Female,Canada,,2484.51
1383.0,Arjun Sharma,41.0,Male,UK,2018-09-24,1483.65
1034.0,Aadhya Gupta,57.0,Female,Canada,,3843.82
1547.0,Aadhya Nair,63.0,Male,UK,,2274.73
1173.0,Vihaan Sharma,19.0,Female,USA,,3484.71
1065.0,Ishaan Verma,64.0,Male,UK,,6177.75
1011.0,Myra Verma,31.0,Female,Canada,2019-01-05,1976.63
1427.0,Ayaan Reddy,41.0,Male,India,,3881.83
1334.0,Vihaan Reddy,18.0,Female,India,,5353.67
1242.0,Aarav Sharma,38.0,Male,India,,3510.81
1596.0,Ananya Mehta,42.0,Female,UK,,3199.68
1544.0,Aadhya Nair,46.0,Female,India,,3407.05
1267.0,Anika Singh,31.0,Male,Canada,,4671.77
1520.0,Vivaan Rao,16.0,Female,UK,,4815.25
1557.0,Ananya Nair,35.0,Male,India,,4509.09
1504.0,Vivaan Iyer,57.0,Male,UK,,2799.04
1049.0,Saanvi Singh,36.0,Male,India,,3781.96
1165.0,Vivaan Mehta,18.0,Female,UK,2021-02-18,1859.39
1186.0,Ishaan Reddy,40.0,Female,India,,4407.49
1082.0,Sara Reddy,44.0,Male,USA,,4177.65
1285.0,Ishaan Kapoor,51.0,Female,UK,,3238.74
1463.0,Ananya Iyer,16.0,Female,India,,4069.04
1085.0,Vivaan Reddy,48.0,Female,Canada,,1393.6
1200.0,Aadhya Iyer,57.0,Female,India,,7326.687500000001
1579.0,Pari Reddy,53.0,Female,India,,7326.687500000001
1402.0,Ishaan Reddy,40.0,Male,India,2021-11-25,5456.5
1574.0,Kiara Singh,19.0,Male,UK,,2872.42
1135.0,Krishna Gupta,67.0,Female,USA,,3170.1
1428.0,Kiara Kapoor,60.0,Male,USA,2020-05-04,2830.45
1062.0,Krishna Mehta,23.0,Male,India,2020-05-15,1966.58
1179.0,Sai Verma,65.0,Male,USA,,1769.49
1498.0,Anika Iyer,32.0,Male,UK,,5187.4
1360.0,Sara Sharma,68.0,Female,USA,2023-02-25,2408.64
1373.0,Anika Mehta,20.0,Male,USA,,2217.52
1305.0,Ananya Singh,28.0,Female,USA,2020-07-21,4106.82
1577.0,Ayaan Sharma,19.0,Female,USA,,4924.52
1247.0,Riya Nair,54.0,Male,Canada,,3675.47
1590.0,Ananya Kapoor,42.0,Male,Canada,,3420.92
1017.0,Krishna Verma,66.0,Female,India,,2235.15
1181.0,Riya Kapoor,39.0,Male,UK,2022-09-20,5601.32
1060.0,Reyansh Kapoor,42.0,Male,USA,,50.0
1207.0,Aarav Singh,57.0,Female,India,,5863.52
1447.0,Aadhya Iyer,22.0,Female,USA,,3606.94
1483.0,Ananya Sharma,15.0,Male,India,,3345.93
1368.0,Riya Nair,26.0,Female,India,,2932.57
1460.0,Aadhya Sharma,35.0,Male,UK,,2652.79
1185.0,Vihaan Mehta,15.0,Female,India,2020-02-11,3836.45
1029.0,Vivaan Gupta,54.0,Male,UK,,63.07
1553.0,Riya Singh,48.0,Male,UK,2021-01-01,50.0
