CustomerID,CustomerName,Age,Gender,Country,JoinDate,PurchaseAmount
1496.0,Sara Sharma,-26.0,F,Canada,06-08-2022,3724.23
1107.0,Myra Nair,40.0,Male,india,01/10/2022,6025.38
1066.0,Aditya Singh,31.0,Male,INDIA,20/01/2023,3625.43
1159.0,Krishna Verma,44.0,F,Canada,2023-07-05,4492.07
1512.0,Vivaan Verma,17.0,M,UK,02/01/2020,"$3,189.84"
2931.0,,,,,,
1041.0,Ananya Singh,47.0,Female,United Kingdom,15/05/2019,7396.51
1023.0,Anika Iyer,60.0,FEMALE,USA,2021-01-14,7721.13
1059.0,Vivaan Nair,28.0,Female,uk,11-16-2023,2846.89
1245.0,Krishna Kapoor,36.0,Female,UK,04/08/2018,
1283.0,Diya Singh,24.0,Female,United Kingdom,2023-07-04,2890.8
1201.0,Sai Rao,24.0,Male,canada,07-10-2023,$417.86
1457.0,Reyansh Reddy,35.0,Male,uk,2018-11-21,3460.36
1268.0,Myra Gupta,59.0,Male,Usa,08-04-2023,
1101.0,Kiara Nair,,Male,Canada,11/07/2023,3324.68
1195.0,Aarav Verma,56.0,F,USA,06-17-2022,"$4,124.55"
1323.0,Myra Rao,39.0,female,USA,07-02-2018,3201.75
1346.0,Saanvi Nair,33.0,FEMALE,uk,15/04/2023,2534.26
1209.0,Riya Kapoor,35.0,male,Usa,24/09/2018,3136.07
1595.0,Myra Mehta,28.0,Female,Canada,09-05-2022,4445.64
1047.0,Anika Mehta,61.0,F,United Kingdom,20/01/2021,4560.27
1013.0,Reyansh Verma,51.0,female,United Kingdom,2023-09-09,2751.06 INR
1286.0,Saanvi Sharma,28.0,Male,uk,13/08/2018,4668.24
1353.0,Riya Verma,20.0,Male,Canada,2018-09-23,5414.71
1517.0,Anika Rao,57.0,male,uk,2023-05-06,
1090.0,Sara Singh,34.0,male,U.S.A,20/06/2023,3652.89
1120.0,Diya Rao,54.0,Male,U.S.A,2019-02-24,6293.48
1481.0,Reyansh Sharma,31.0,FEMALE,India,2022-08-27,4089.71
1599.0,Anika Mehta,38.0,Male,USA,2023-05-01,"$2,419.48"
1488.0,Reyansh Rao,63.0,F,United Kingdom,2022-06-22,2737.82
1333.0,Aditya Kapoor,51.0,Male,india,2018-08-27,"$1,682.14"
1446.0,Myra Rao,-44.0,nan,USA,2021-04-26,3843.45
1132.0,Ishaan Reddy,42.0,MALE,U.S.A,2023-02-20,4623.83
1236.0,Reyansh Kapoor,15.0,Male,Usa,2019-03-18,
1160.0,Aarav Sharma,-65.0,Male,UK,07/07/2021,"$1,873.08"
1088.0,Vihaan Rao,66.0,Male,Canada,2023-04-21,4429.55
1414.0,Aditya Reddy,69.0,FEMALE,U.S.A,06/06/2021,1507.41
1262.0,Sai Iyer,52.0,Female,INDIA,2020-07-05,2761.63
1406.0,Sara Reddy,31.0,F,U.S.A,05/10/2022,2175.7
1318.0,Saanvi Sharma,59.0,MALE,uk,2019-11-12,3251.52
1119.0,Reyansh Nair,36.0,female,Usa,13/06/2022,3253.02
1585.0,Arjun Kapoor,31.0,M,USA,26/02/2022,3597.75
1111.0,Arjun Reddy,-26.0,male,Usa,27/10/2023,4736.3
1549.0,Reyansh Rao,57.0,Male,India,01/07/2023,2508.98
1408.0,Krishna Verma,56.0,MALE,uk,2019-02-24,
1172.0,Riya Gupta,57.0,nan,uk,10/01/2022,"$4,151.01"
1214.0,Reyansh Nair,15.0,Female,U.S.A,05-02-2023,2447.35
1000.0,Vivaan Rao,51.0,Male,U.S.A,11-20-2021,"$3,025.64"
1550.0,Aadhya Gupta,18.0,female,Canada,04-08-2023,5728.28 INR
1162.0,Riya Reddy,57.0,M,USA,2020-08-10,488.16
1069.0,Vihaan Sharma,17.0,male,UK,06/07/2021,4016.91
1304.0,Saanvi Verma,28.0,Female,INDIA,25/10/2018,3219.86
1386.0,Ananya Rao,18.0,FEMALE,Usa,24/03/2023,1924.37
1144.0,Saanvi Iyer,48.0,F,canada,07/04/2019,4046.79 INR
1218.0,Arjun Verma,26.0,FEMALE,U.S.A,2022-08-24,2195.06 INR
2798.0,,,,,,
1370.0,Reyansh Verma,61.0,Male,uk,21/04/2021,2416.46
1570.0,Vivaan Iyer,46.0,Female,UK,05-18-2018,3289.57
1458.0,Ishaan Gupta,28.0,Female,Canada,02/01/2018,6533.88
1530.0,Anika Sharma,19.0,female,United Kingdom,02-09-2023,4982.51
1573.0,Myra Singh,47.0,female,INDIA,09/11/2023,
1436.0,Reyansh Sharma,-21.0,FEMALE,Canada,21/07/2019,"$2,484.51"
1383.0,Arjun Sharma,-41.0,male,United Kingdom,09-24-2018,"$1,483.65"
1034.0,Aadhya Gupta,57.0,female,Canada,2018-08-17,"$3,843.82"
1547.0,Aadhya Nair,63.0,Male,UK,2019-09-06,2274.73
1173.0,Vihaan Sharma,19.0,Female,U.S.A,08/11/2018,3484.71
1065.0,Ishaan Verma,64.0,nan,uk,27/05/2021,6177.75
1011.0,Myra Verma,31.0,Female,canada,01-05-2019,1976.63 INR
1427.0,Ayaan Reddy,41.0,Male,india,12/07/2020,3881.83
1334.0,Vihaan Reddy,18.0,Female,india,2022-03-16,"$5,353.67"
1242.0,Aarav Sharma,38.0,male,INDIA,09/05/2018,3510.81 INR
1596.0,Ananya Mehta,42.0,Female,uk,2019-04-03,3199.68
1544.0,Aadhya Nair,46.0,Female,india,12/03/2020,3407.05
1267.0,Anika Singh,31.0,nan,canada,2020-08-10,4671.77 INR
1520.0,Vivaan Rao,16.0,Female,United Kingdom,2018-10-06,4815.25 INR
1557.0,Ananya Nair,35.0,Male,INDIA,18/10/2021,4509.09
1504.0,Vivaan Iyer,57.0,MALE,UK,2021-06-02,2799.04 INR
1049.0,Saanvi Singh,36.0,Male,india,19/11/2021,3781.96 INR
1165.0,Vivaan Mehta,18.0,Female,UK,02-18-2021,1859.39
1186.0,Ishaan Reddy,40.0,Female,india,07/10/2019,"$4,407.49"
1082.0,Sara Reddy,44.0,MALE,Usa,11/09/2022,4177.65
1285.0,Ishaan Kapoor,51.0,Female,UK,15/11/2023,"$3,238.74"
1463.0,Ananya Iyer,16.0,Female,india,18/02/2020,4069.04
1085.0,Vivaan Reddy,48.0,female,canada,2023-10-16,1393.6
1200.0,Aadhya Iyer,57.0,FEMALE,INDIA,2019-07-16,47542.3
1579.0,Pari Reddy,53.0,Female,INDIA,2020-04-27,59156.5
1402.0,Ishaan Reddy,40.0,male,India,11-25-2021,5456.5
1574.0,Kiara Singh,19.0,male,uk,08/11/2022,"$2,872.42"
1135.0,Krishna Gupta,67.0,Female,USA,2023-05-19,3170.1
1428.0,Kiara Kapoor,60.0,male,USA,05-04-2020,2830.45
1062.0,Krishna Mehta,23.0,male,India,05-15-2020,1966.58
1179.0,Sai Verma,65.0,male,U.S.A,2019-01-17,1769.49
1498.0,Anika Iyer,32.0,MALE,UK,2021-10-07,5187.4
1360.0,Sara Sharma,68.0,FEMALE,USA,02-25-2023,2408.64
1373.0,Anika Mehta,20.0,MALE,U.S.A,2020-03-09,"$2,217.52"
1305.0,Ananya Singh,28.0,female,USA,07-21-2020,4106.82
1577.0,Ayaan Sharma,19.0,Female,USA,13/01/2022,4924.52
1247.0,Riya Nair,54.0,male,Canada,2022-01-25,3675.47
1590.0,Ananya Kapoor,42.0,Male,canada,08/06/2019,
1017.0,Krishna Verma,66.0,female,India,09/02/2023,2235.15
1181.0,Riya Kapoor,39.0,Male,uk,09-20-2022,5601.32 INR
1060.0,Reyansh Kapoor,,nan,Usa,2022-02-08,$50.00
1207.0,Aarav Singh,57.0,FEMALE,india,2021-08-09,5863.52
1090.0,Sara Singh,34.0,male,U.S.A,20/06/2023,3652.89
1207.0,Aarav Singh,57.0,FEMALE,india,2021-08-09,5863.52
1447.0,Aadhya Iyer,22.0,Female,U.S.A,2022-04-14,3606.94 INR
1483.0,Ananya Sharma,15.0,nan,INDIA,21/01/2019,3345.93 INR
1368.0,Riya Nair,26.0,FEMALE,india,26/01/2019,2932.57
1460.0,Aadhya Sharma,35.0,Male,UK,2023-08-02,2652.79
1185.0,Vihaan Mehta,15.0,female,India,02-11-2020,3836.45
1029.0,Vivaan Gupta,54.0,Male,UK,01/07/2018,63.07
1553.0,Riya Singh,48.0,male,uk,01-01-2021,50
